
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/8/2022 3:01:29 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/8/2022 3:01:36 PM;;;;;;;
8/8/2022 3:01:54 PM;0;1;lm1front;lm2(Barn);(-0.902, 0.000, 0.423);(-0.803, 0.000, 0.595);11.372
8/8/2022 3:02:08 PM;1;2;lm1front;lm3(Car);(0.151, 0.000, 0.988);(0.534, 0.000, 0.843);23.655
8/8/2022 3:02:12 PM;2;3;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(0.045, 0.000, 0.999);4.207
8/8/2022 3:02:19 PM;3;4;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.504, 0.000, 0.863);21.189
8/8/2022 3:02:24 PM;4;5;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.822, 0.000, 0.565);23.743
8/8/2022 3:02:33 PM;5;7;lm6front;lm1(RoofPiece_A);(0.518, 0.000, -0.856);(0.840, 0.000, -0.539);26.146
8/8/2022 3:02:36 PM;6;8;lm6front;lm2(Barn);(0.393, 0.000, -0.920);(0.927, 0.000, -0.367);45.278
8/8/2022 3:02:39 PM;7;9;lm6front;lm3(Car);(0.985, 0.000, -0.165);(0.955, 0.000, 0.293);26.557
8/8/2022 3:02:41 PM;8;10;lm6front;lm4(Fcapsule);(0.898, 0.000, 0.440);(0.835, 0.000, 0.548);7.214
8/8/2022 3:02:45 PM;9;11;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(0.692, 0.000, 0.707);10.782
8/8/2022 3:02:52 PM;10;13;lm2front;lm1(RoofPiece_A);(0.951, 0.000, -0.298);(0.816, 0.000, -0.557);16.888
8/8/2022 3:02:57 PM;11;14;lm2front;lm3(Car);(0.421, 0.000, 0.906);(0.539, 0.000, 0.841);7.731
8/8/2022 3:02:58 PM;12;15;lm2front;lm4(Fcapsule);(0.294, 0.000, 0.956);(0.323, 0.000, 0.946);1.754
8/8/2022 3:03:06 PM;13;16;lm2front;lm5(CobbleRock_E);(-0.010, 0.000, 1.000);(-0.057, 0.000, 0.997);2.657
8/8/2022 3:03:09 PM;14;17;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(-0.629, 0.000, 0.775);15.761
8/8/2022 3:03:20 PM;15;19;lm5front;lm1(RoofPiece_A);(0.145, 0.000, -0.989);(0.433, 0.000, -0.901);17.374
8/8/2022 3:03:22 PM;16;20;lm5front;lm2(Barn);(0.013, 0.000, -1.000);(0.267, 0.000, -0.964);14.726
8/8/2022 3:03:27 PM;17;21;lm5front;lm3(Car);(0.470, 0.000, -0.882);(0.756, 0.000, -0.653);21.183
8/8/2022 3:03:32 PM;18;22;lm5front;lm4(Fcapsule);(0.905, 0.000, -0.426);(0.937, 0.000, -0.335);5.546
8/8/2022 3:03:40 PM;19;23;lm5front;lm6(Struct_Pavilion_B);(-0.580, 0.000, -0.814);(-0.594, 0.000, -0.798);1.205
8/8/2022 3:03:59 PM;20;25;lm4front;lm1(RoofPiece_A);(-0.134, 0.000, -0.991);(-0.331, 0.000, -0.938);11.690
8/8/2022 3:04:01 PM;21;26;lm4front;lm2(Barn);(-0.291, 0.000, -0.957);(-0.476, 0.000, -0.878);11.549
8/8/2022 3:04:03 PM;22;27;lm4front;lm3(Car);(-0.096, 0.000, -0.994);(-0.194, 0.000, -0.980);5.719
8/8/2022 3:04:13 PM;23;28;lm4front;lm5(CobbleRock_E);(-0.936, 0.000, 0.350);(-0.896, 0.000, 0.441);5.726
8/8/2022 3:04:15 PM;24;29;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-1.000, 0.000, 0.005);24.924
8/8/2022 3:04:29 PM;25;31;lm3front;lm1(RoofPiece_A);(-0.127, 0.000, -0.992);(-0.196, 0.000, -0.969);4.112
8/8/2022 3:04:30 PM;26;32;lm3front;lm2(Barn);(-0.369, 0.000, -0.929);(-0.370, 0.000, -0.926);0.093
8/8/2022 3:04:38 PM;27;33;lm3front;lm4(Fcapsule);(0.107, 0.000, 0.994);(0.342, 0.000, 0.938);13.899
8/8/2022 3:04:40 PM;28;34;lm3front;lm5(CobbleRock_E);(-0.489, 0.000, 0.872);(-0.059, 0.000, 0.988);25.905
8/8/2022 3:04:41 PM;29;35;lm3front;lm6(Struct_Pavilion_B);(-0.989, 0.000, 0.146);(-0.506, 0.000, 0.842);50.604
