
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/28/2022 4:54:21 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/28/2022 4:56:52 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/28/2022 4:58:34 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/28/2022 4:59:45 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/28/2022 5:02:49 PM;;;;;;;
7/28/2022 5:02:58 PM;0;1;lm1front;lm2(Barn);(-0.901, 0.000, 0.417);(-0.757, 0.000, -0.359);50.216
7/28/2022 5:03:03 PM;1;2;lm1front;lm3(Car);(0.152, 0.000, 0.988);(-0.777, 0.000, -0.279);118.504
7/28/2022 5:03:04 PM;2;3;lm1front;lm4(F);(0.118, 0.000, 0.993);(-0.762, 0.000, -0.285);117.278
7/28/2022 5:03:04 PM;3;4;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.736, 0.000, -0.297);102.901
7/28/2022 5:03:05 PM;4;5;lm1front;lm6(Struct_Pavilion_B);(-0.535, 0.000, 0.845);(-0.745, 0.000, -0.327);81.354
7/28/2022 5:03:12 PM;5;6;lm1front;lm6(Struct_Pavilion_B);(-0.535, 0.000, 0.845);(-0.735, 0.000, -0.352);83.267
7/28/2022 5:03:18 PM;6;8;lm3front;lm2(Barn);(-0.368, 0.000, -0.929);(-0.706, 0.000, -0.314);44.391
7/28/2022 5:03:19 PM;7;9;lm3front;lm4(F);(0.104, 0.000, 0.994);(-0.701, 0.000, -0.344);122.099
7/28/2022 5:03:19 PM;8;10;lm3front;lm5(CobbleRock_E);(-0.495, 0.000, 0.869);(-0.701, 0.000, -0.368);88.005
7/28/2022 5:03:19 PM;9;11;lm3front;lm6(Struct_Pavilion_B);(-0.994, 0.000, 0.108);(-0.704, 0.000, -0.399);35.758
7/28/2022 5:03:21 PM;10;12;lm3front;lm6(Struct_Pavilion_B);(-0.994, 0.000, 0.108);(-0.711, 0.000, -0.377);34.145
7/28/2022 5:03:28 PM;11;13;lm6front;lm1(RoofPiece_A);(0.524, 0.000, -0.852);(-0.623, 0.000, -0.363);91.351
7/28/2022 5:03:29 PM;12;15;lm6front;lm3(Car);(0.990, 0.000, -0.135);(-0.617, 0.000, -0.375);140.997
7/28/2022 5:03:29 PM;13;16;lm6front;lm4(F);(0.887, 0.000, 0.462);(-0.614, 0.000, -0.388);175.211
7/28/2022 5:03:30 PM;14;17;lm6front;lm5(CobbleRock_E);(0.531, 0.000, 0.847);(-0.589, 0.000, -0.395);155.876
7/28/2022 5:03:31 PM;15;18;lm6front;lm5(CobbleRock_E);(0.531, 0.000, 0.847);(-0.592, 0.000, -0.399);156.023
7/28/2022 5:03:32 PM;16;19;lm5front;lm1(RoofPiece_A);(0.145, 0.000, -0.989);(-0.581, 0.000, -0.367);66.074
7/28/2022 5:03:36 PM;17;20;lm5front;lm2(Barn);(0.012, 0.000, -1.000);(-0.590, 0.000, -0.393);57.040
7/28/2022 5:03:37 PM;18;22;lm5front;lm4(F);(0.909, 0.000, -0.417);(-0.583, 0.000, -0.397);121.087
7/28/2022 5:03:37 PM;19;23;lm5front;lm6(Struct_Pavilion_B);(-0.572, 0.000, -0.820);(-0.573, 0.000, -0.409);19.607
7/28/2022 5:03:40 PM;20;24;lm5front;lm6(Struct_Pavilion_B);(-0.572, 0.000, -0.820);(-0.550, 0.000, -0.375);20.790
7/28/2022 5:03:43 PM;21;25;lm2front;lm1(RoofPiece_A);(0.953, 0.000, -0.298);(-0.508, 0.000, -0.454);120.809
7/28/2022 5:03:43 PM;22;26;lm2front;lm3(Car);(0.424, 0.000, 0.905);(-0.496, 0.000, -0.423);155.584
7/28/2022 5:03:44 PM;23;27;lm2front;lm4(F);(0.296, 0.000, 0.955);(-0.504, 0.000, -0.457);149.397
7/28/2022 5:03:45 PM;24;29;lm2front;lm6(Struct_Pavilion_B);(-0.402, 0.000, 0.916);(-0.486, 0.000, -0.464);109.965
7/28/2022 5:04:04 PM;25;30;lm2front;lm6(Struct_Pavilion_B);(-0.402, 0.000, 0.916);(-0.643, 0.000, -0.496);103.973
7/28/2022 5:04:04 PM;26;31;lm4front;lm1(RoofPiece_A);(-0.134, 0.000, -0.991);(-0.667, 0.000, -0.437);49.012
7/28/2022 5:04:05 PM;27;32;lm4front;lm2(Barn);(-0.291, 0.000, -0.957);(-0.640, 0.000, -0.424);39.578
7/28/2022 5:04:09 PM;28;33;lm4front;lm3(Car);(-0.096, 0.000, -0.994);(-0.586, 0.000, -0.329);55.237
7/28/2022 5:04:09 PM;29;34;lm4front;lm5(CobbleRock_E);(-0.935, 0.000, 0.352);(-0.471, 0.000, -0.465);65.265
7/28/2022 5:04:22 PM;30;36;lm4front;lm6(Struct_Pavilion_B);(-0.900, 0.000, -0.435);(-0.463, 0.000, -0.443);17.893
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 3:30:02 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 3:30:59 PM;;;;;;;
