
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 3:27:35 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 4:10:16 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 4:12:18 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:11:42 PM;;;;;;;
7/30/2022 1:12:08 PM;0;1;lm6(Struct_Pavilion_B);lm1(RoofPiece_A);(0.535, 0.000, -0.845);(-0.865, 0.000, 0.301);141.566
7/30/2022 1:12:09 PM;1;2;lm6(Struct_Pavilion_B);lm2(Barn);(0.416, 0.000, -0.909);(-0.909, 0.000, 0.200);126.970
7/30/2022 1:12:10 PM;2;3;lm6(Struct_Pavilion_B);lm3(Car);(0.987, 0.000, -0.157);(-0.873, 0.000, 0.140);179.895
7/30/2022 1:12:12 PM;3;4;lm6(Struct_Pavilion_B);lm4(Fcapsule);(0.903, 0.000, 0.429);(-0.829, 0.000, 0.073);149.511
7/30/2022 1:12:12 PM;4;5;lm6(Struct_Pavilion_B);lm5(CobbleRock_E);(0.580, 0.000, 0.814);(-0.756, 0.000, 0.078);119.528
7/30/2022 1:12:12 PM;5;6;lm6(Struct_Pavilion_B);lm5(CobbleRock_E);(0.580, 0.000, 0.814);(-0.726, 0.000, -0.096);132.952
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:13:07 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:13:57 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:16:19 PM;;;;;;;
7/30/2022 1:16:59 PM;0;1;lm1front;lm2(Barn);(-0.902, 0.000, 0.423);(-0.619, 0.000, 0.784);26.577
7/30/2022 1:17:02 PM;1;2;lm1front;lm3(Car);(0.151, 0.000, 0.988);(-0.506, 0.000, 0.852);39.382
7/30/2022 1:17:03 PM;2;3;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(-0.482, 0.000, 0.863);35.919
7/30/2022 1:17:03 PM;3;4;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.494, 0.000, 0.853);20.963
7/30/2022 1:17:04 PM;4;5;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.479, 0.000, 0.861);2.626
7/30/2022 1:17:06 PM;5;6;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.558, 0.000, 0.813);2.740
7/30/2022 1:17:10 PM;6;8;lm6front;lm2(Barn);(0.393, 0.000, -0.920);(-0.797, 0.000, 0.583);149.323
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:17:26 PM;;;;;;;
7/30/2022 1:17:43 PM;0;1;lm6front;lm1(RoofPiece_A);(0.518, 0.000, -0.856);(-0.990, 0.000, 0.135);128.923
7/30/2022 1:17:44 PM;1;2;lm6front;lm2(Barn);(0.393, 0.000, -0.920);(-0.937, 0.000, 0.346);133.415
7/30/2022 1:17:45 PM;2;3;lm6front;lm3(Car);(0.985, 0.000, -0.165);(-0.963, 0.000, 0.264);174.183
7/30/2022 1:17:46 PM;3;4;lm6front;lm4(Fcapsule);(0.898, 0.000, 0.440);(-0.955, 0.000, 0.286);137.242
7/30/2022 1:17:47 PM;4;5;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(-0.961, 0.000, 0.272);107.791
7/30/2022 1:17:48 PM;5;6;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(-0.959, 0.000, 0.277);107.468
7/30/2022 1:17:50 PM;6;8;lm2front;lm3(Car);(0.421, 0.000, 0.906);(-0.957, 0.000, 0.282);98.481
7/30/2022 1:17:50 PM;7;9;lm2front;lm4(Fcapsule);(0.294, 0.000, 0.956);(-0.958, 0.000, 0.282);90.682
7/30/2022 1:17:51 PM;8;10;lm2front;lm5(CobbleRock_E);(-0.010, 0.000, 1.000);(-0.957, 0.000, 0.280);73.079
7/30/2022 1:17:51 PM;9;11;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(-0.959, 0.000, 0.276);50.654
7/30/2022 1:17:55 PM;10;12;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(-0.378, 0.000, 0.924);1.036
7/30/2022 1:17:58 PM;11;13;lm1front;lm2(Barn);(-0.901, 0.000, 0.423);(-0.865, 0.000, 0.499);4.793
7/30/2022 1:17:59 PM;12;15;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(-0.858, 0.000, 0.511);65.993
7/30/2022 1:17:59 PM;13;16;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.855, 0.000, 0.515);49.837
7/30/2022 1:18:00 PM;14;17;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.855, 0.000, 0.516);27.133
7/30/2022 1:18:00 PM;15;18;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.859, 0.000, 0.509);27.584
7/30/2022 1:18:04 PM;16;19;lm4front;lm1(RoofPiece_A);(-0.134, 0.000, -0.991);(-0.991, 0.000, -0.077);77.861
7/30/2022 1:18:05 PM;17;20;lm4front;lm2(Barn);(-0.291, 0.000, -0.957);(-0.997, 0.000, -0.043);70.621
7/30/2022 1:18:06 PM;18;22;lm4front;lm5(CobbleRock_E);(-0.936, 0.000, 0.350);(-1.000, 0.000, -0.010);21.066
7/30/2022 1:18:07 PM;19;23;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-1.000, 0.000, 0.000);24.599
7/30/2022 1:18:08 PM;20;24;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-1.000, 0.000, 0.005);24.906
7/30/2022 1:18:21 PM;21;25;lm3front;lm1(RoofPiece_A);(-0.129, 0.000, -0.992);(-0.123, 0.000, -0.991);0.355
7/30/2022 1:18:22 PM;22;26;lm3front;lm2(Barn);(-0.375, 0.000, -0.927);(-0.142, 0.000, -0.987);13.846
7/30/2022 1:18:22 PM;23;27;lm3front;lm4(Fcapsule);(0.104, 0.000, 0.995);(-0.161, 0.000, -0.985);176.709
7/30/2022 1:18:24 PM;24;29;lm3front;lm6(Struct_Pavilion_B);(-0.986, 0.000, 0.164);(-0.207, 0.000, -0.978);87.540
